date,location,admission_count,disease_type,age_group,created_at
2024-01-02,Ho Chi Minh City,1,Dengue Fever,65+,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,12,Others,0-18,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,16,Others,19-30,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,19,Others,31-50,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,9,Others,51-65,2025-08-21T10:56:55.216087
2024-01-02,Ho Chi Minh City,6,Others,65+,2025-08-21T10:56:55.216087
2024-01-03,Ho Chi Minh City,9,COVID-19,0-18,2025-08-21T10:56:55.216087
2024-01-03,Ho Chi Minh City,12,COVID-19,19-30,2025-08-21T10:56:55.216087
2024-01-03,Ho Chi Minh City,14,COVID-19,31-50,2025-08-21T10:56:55.216087
2024-01-03,Ho Chi Minh City,7,COVID-19,51-65,2025-08-21T10:56:55.216087
2024-01-03,Ho Chi Minh City,12,COVID-19,65+,2025-08-21T10:56:55.216087
2024-01-03,Ho Chi Minh City,24,Flu,0-18,2025-08-21T10:56:55.216087
2024-01-03,Ho Chi Minh City,20,Flu,19-30,2025-08-21T10:56:55.216087
2024-01-03,Ho Chi Minh City,24,Flu,31-50,2025-08-21T10:56:55.216087
2024-01-03,Ho Chi Minh City,12,Flu,51-65,2025-08-21T10:56:55.216087
2024-01-03,Ho Chi Minh City,16,Flu,65+,2025-08-21T10:56:55.216087
2024-01-03,Ho Chi Minh City,5,Pneumonia,0-18,2025-08-21T10:56:55.216087
2024-01-03,Ho Chi Minh City,6,Pneumonia,19-30,2025-08-21T10:56:55.216087
2024-01-03,Ho Chi Minh City,7,Pneumonia,31-50,2025-08-21T10:56:55.216087
2024-01-03,Ho Chi Minh City,3,Pneumonia,51-65,2025-08-21T10:56:55.216087
2024-01-03,Ho Chi Minh City,2,Pneumonia,65+,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,5,Heart Disease,0-18,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,6,Heart Disease,19-30,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,8,Heart Disease,31-50,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,8,Heart Disease,51-65,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,9,Heart Disease,65+,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,4,Diabetes,0-18,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,5,Diabetes,19-30,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,6,Diabetes,31-50,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,3,Diabetes,51-65,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,2,Diabetes,65+,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,2,Dengue Fever,0-18,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,3,Dengue Fever,19-30,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,3,Dengue Fever,31-50,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,1,Dengue Fever,51-65,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,1,Dengue Fever,65+,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,14,Others,0-18,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,17,Others,19-30,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,21,Others,31-50,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,10,Others,51-65,2025-08-21T10:56:55.217087
2024-01-03,Ho Chi Minh City,7,Others,65+,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,9,COVID-19,0-18,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,11,COVID-19,19-30,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,13,COVID-19,31-50,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,6,COVID-19,51-65,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,11,COVID-19,65+,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,31,Flu,0-18,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,26,Flu,19-30,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,31,Flu,31-50,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,15,Flu,51-65,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,21,Flu,65+,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,6,Pneumonia,0-18,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,8,Pneumonia,19-30,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,10,Pneumonia,31-50,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,5,Pneumonia,51-65,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,3,Pneumonia,65+,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,8,Heart Disease,0-18,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,10,Heart Disease,19-30,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,12,Heart Disease,31-50,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,12,Heart Disease,51-65,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,14,Heart Disease,65+,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,2,Diabetes,0-18,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,3,Diabetes,19-30,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,4,Diabetes,31-50,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,2,Diabetes,51-65,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,1,Diabetes,65+,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,4,Dengue Fever,0-18,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,5,Dengue Fever,19-30,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,6,Dengue Fever,31-50,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,3,Dengue Fever,51-65,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,2,Dengue Fever,65+,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,15,Others,0-18,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,19,Others,19-30,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,23,Others,31-50,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,11,Others,51-65,2025-08-21T10:56:55.217087
2024-01-04,Ho Chi Minh City,7,Others,65+,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,8,COVID-19,0-18,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,10,COVID-19,19-30,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,12,COVID-19,31-50,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,6,COVID-19,51-65,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,10,COVID-19,65+,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,19,Flu,0-18,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,16,Flu,19-30,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,19,Flu,31-50,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,9,Flu,51-65,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,13,Flu,65+,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,9,Pneumonia,0-18,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,12,Pneumonia,19-30,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,14,Pneumonia,31-50,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,7,Pneumonia,51-65,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,4,Pneumonia,65+,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,6,Heart Disease,0-18,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,8,Heart Disease,19-30,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,9,Heart Disease,31-50,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,9,Heart Disease,51-65,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,11,Heart Disease,65+,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,5,Diabetes,0-18,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,6,Diabetes,19-30,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,7,Diabetes,31-50,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,3,Diabetes,51-65,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,2,Diabetes,65+,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,2,Dengue Fever,0-18,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,2,Dengue Fever,19-30,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,3,Dengue Fever,31-50,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,1,Dengue Fever,51-65,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,1,Dengue Fever,65+,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,14,Others,0-18,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,17,Others,19-30,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,21,Others,31-50,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,10,Others,51-65,2025-08-21T10:56:55.217087
2024-01-05,Ho Chi Minh City,7,Others,65+,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,6,COVID-19,0-18,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,7,COVID-19,19-30,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,9,COVID-19,31-50,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,4,COVID-19,51-65,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,7,COVID-19,65+,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,25,Flu,0-18,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,21,Flu,19-30,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,25,Flu,31-50,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,12,Flu,51-65,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,17,Flu,65+,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,5,Pneumonia,0-18,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,6,Pneumonia,19-30,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,7,Pneumonia,31-50,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,3,Pneumonia,51-65,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,2,Pneumonia,65+,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,3,Heart Disease,0-18,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,4,Heart Disease,19-30,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,5,Heart Disease,31-50,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,5,Heart Disease,51-65,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,6,Heart Disease,65+,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,3,Diabetes,0-18,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,3,Diabetes,19-30,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,4,Diabetes,31-50,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,2,Diabetes,51-65,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,1,Diabetes,65+,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,2,Dengue Fever,0-18,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,2,Dengue Fever,19-30,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,3,Dengue Fever,31-50,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,1,Dengue Fever,51-65,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,1,Dengue Fever,65+,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,11,Others,0-18,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,14,Others,19-30,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,17,Others,31-50,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,8,Others,51-65,2025-08-21T10:56:55.217087
2024-01-06,Ho Chi Minh City,5,Others,65+,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,6,COVID-19,0-18,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,7,COVID-19,19-30,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,9,COVID-19,31-50,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,4,COVID-19,51-65,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,7,COVID-19,65+,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,34,Flu,0-18,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,28,Flu,19-30,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,34,Flu,31-50,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,17,Flu,51-65,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,22,Flu,65+,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,6,Pneumonia,0-18,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,8,Pneumonia,19-30,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,9,Pneumonia,31-50,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,4,Pneumonia,51-65,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,3,Pneumonia,65+,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,5,Heart Disease,0-18,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,6,Heart Disease,19-30,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,8,Heart Disease,31-50,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,8,Heart Disease,51-65,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,9,Heart Disease,65+,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,3,Diabetes,0-18,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,4,Diabetes,19-30,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,4,Diabetes,31-50,2025-08-21T10:56:55.217087
2024-01-07,Ho Chi Minh City,2,Diabetes,51-65,2025-08-21T10:56:55.218087
2024-01-07,Ho Chi Minh City,1,Diabetes,65+,2025-08-21T10:56:55.218087
2024-01-07,Ho Chi Minh City,2,Dengue Fever,0-18,2025-08-21T10:56:55.218087
2024-01-07,Ho Chi Minh City,3,Dengue Fever,19-30,2025-08-21T10:56:55.218087
2024-01-07,Ho Chi Minh City,3,Dengue Fever,31-50,2025-08-21T10:56:55.218087
2024-01-07,Ho Chi Minh City,1,Dengue Fever,51-65,2025-08-21T10:56:55.218087
2024-01-07,Ho Chi Minh City,1,Dengue Fever,65+,2025-08-21T10:56:55.218087
2024-01-07,Ho Chi Minh City,10,Others,0-18,2025-08-21T10:56:55.218087
2024-01-07,Ho Chi Minh City,12,Others,19-30,2025-08-21T10:56:55.218087
2024-01-07,Ho Chi Minh City,15,Others,31-50,2025-08-21T10:56:55.218087
2024-01-07,Ho Chi Minh City,7,Others,51-65,2025-08-21T10:56:55.218087
2024-01-07,Ho Chi Minh City,5,Others,65+,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,7,COVID-19,0-18,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,9,COVID-19,19-30,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,11,COVID-19,31-50,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,5,COVID-19,51-65,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,9,COVID-19,65+,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,35,Flu,0-18,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,29,Flu,19-30,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,35,Flu,31-50,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,17,Flu,51-65,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,23,Flu,65+,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,8,Pneumonia,0-18,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,10,Pneumonia,19-30,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,12,Pneumonia,31-50,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,6,Pneumonia,51-65,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,4,Pneumonia,65+,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,7,Heart Disease,0-18,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,9,Heart Disease,19-30,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,11,Heart Disease,31-50,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,11,Heart Disease,51-65,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,12,Heart Disease,65+,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,3,Diabetes,0-18,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,3,Diabetes,19-30,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,4,Diabetes,31-50,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,2,Diabetes,51-65,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,1,Diabetes,65+,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,2,Dengue Fever,0-18,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,3,Dengue Fever,19-30,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,3,Dengue Fever,31-50,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,1,Dengue Fever,51-65,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,1,Dengue Fever,65+,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,15,Others,0-18,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,19,Others,19-30,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,22,Others,31-50,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,11,Others,51-65,2025-08-21T10:56:55.218087
2024-01-08,Ho Chi Minh City,7,Others,65+,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,9,COVID-19,0-18,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,11,COVID-19,19-30,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,13,COVID-19,31-50,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,6,COVID-19,51-65,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,11,COVID-19,65+,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,48,Flu,0-18,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,40,Flu,19-30,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,48,Flu,31-50,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,24,Flu,51-65,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,32,Flu,65+,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,8,Pneumonia,0-18,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,10,Pneumonia,19-30,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,12,Pneumonia,31-50,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,6,Pneumonia,51-65,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,4,Pneumonia,65+,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,9,Heart Disease,0-18,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,11,Heart Disease,19-30,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,14,Heart Disease,31-50,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,14,Heart Disease,51-65,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,16,Heart Disease,65+,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,3,Diabetes,0-18,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,4,Diabetes,19-30,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,4,Diabetes,31-50,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,2,Diabetes,51-65,2025-08-21T10:56:55.218087
2024-01-09,Ho Chi Minh City,1,Diabetes,65+,2025-08-21T10:56:55.218087
